Mixed Sound ID,Cluster_K2
M0001,1
M0002,1
M0003,0
M0004,1
M0005,0
M0006,1
M0007,0
M0008,1
M0009,0
M0010,1
M0011,0
M0012,1
M0013,1
M0014,1
M0015,1
M0016,1
M0017,1
M0018,1
M0019,0
M0020,1
M0021,0
M0022,0
M0023,0
M0024,0
M0025,0
M0026,1
M0027,0
M0028,1
M0029,0
M0030,1
M0031,1
M0032,1
M0033,1
M0034,0
M0035,0
M0036,0
M0037,0
M0038,1
M0039,0
M0040,0
M0041,1
M0042,1
M0043,0
M0044,0
M0045,0
M0046,1
M0047,0
M0048,1
M0049,0
M0050,1
M0051,1
M0052,1
M0053,1
M0054,1
M0055,0
M0056,1
M0057,1
M0058,0
M0059,1
M0060,0
M0061,1
M0062,1
M0063,1
M0064,0
M0065,1
M0066,0
M0067,1
M0068,0
M0069,0
M0070,1
M0071,0
M0072,0
M0073,0
M0074,1
M0075,1
M0076,1
M0077,1
M0078,0
M0079,1
M0080,0
M0081,1
M0082,1
M0083,0
M0084,0
M0085,1
M0086,0
M0087,0
M0088,0
M0089,0
M0090,0
M0091,0
M0092,0
M0093,0
M0094,0
M0095,1
M0096,0
M0097,1
M0098,0
M0099,1
M0100,1
M0101,0
M0102,0
M0103,1
M0104,0
M0105,1
M0106,0
M0107,0
M0108,1
M0109,1
M0110,1
M0111,1
M0112,1
M0113,1
M0114,0
M0115,1
M0116,0
M0117,0
M0118,0
M0119,1
M0120,1
M0121,1
M0122,0
M0123,0
M0124,0
M0125,1
M0126,1
M0127,0
M0128,1
M0129,1
M0130,1
M0131,0
M0132,0
M0133,1
M0134,0
M0135,0
M0136,0
M0137,0
M0138,0
M0139,0
M0140,1
M0141,0
M0142,1
M0143,1
M0144,1
M0145,0
